Item Name,Quantity,Unit
ACSR_Moose_tons,5,tons
ACSR_Zebra_tons,3,tons
AAAC_tons,2,tons
OPGW_km,10,km
Earthwire_km,8,km
Tower_Steel_MT,15,MT
Angle_Tower_MT,10,MT
Bolts_Nuts_pcs,500,pcs
Disc_Insulators_units,50,units
Longrod_Insulators_units,30,units
Vibration_Dampers_pcs,100,pcs
Spacer_Dampers_pcs,80,pcs
Clamp_Fittings_sets,25,sets
Conductor_Accessories_sets,20,sets
Earth_Rods_units,40,units
Foundation_Concrete_m3,50,m3
Control_Cable_m,200,m
Power_Cable_m,150,m
Transformer_MVA_units,2,units
Power_Transformer_units,1,units
Circuit_Breaker_units,5,units
Isolator_units,8,units
CT_PT_sets,10,sets
Relay_Panels_units,4,units
Busbar_MT,12,MT
Cement_MT,100,MT
Sand_m3,75,m3
Aggregate_m3,60,m3
Earthing_Mat_sets,15,sets
MC501_units,20,units
Cable_Trays_m,100,m
Lighting_Protection_sets,10,sets
Misc_Hardware_lots,5,lots
